2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0.00857,0.00972,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.12835,2.20543,1.71,1.88,1.34,1.34,1.29,1.48,1.52,1.64,1.75
0.20481,0.19895,0.18,0.21,0.23,0.26,0.28,0.31,0.32,0.3,0.31
3.26552,3.95114,4.23,4.43,4.59,4.46,4.5,3.25,3.39,3.65,3.78
3.16,3.23,3.32,3.5,3.29,3.35,3.37,3.39,3.62,3.62,3.62
0.41888,0.32738,0.4,0.34,0.25,0.43,0.52,0.49,0.42,0.49,0.52
4.69,4.68,4.51,4.31,4.14,4.04,4.02,3.76,3.87,3.68,3.71
6.36804,6.11278,6.1,6.1,6.3,6.1,6.2,6.1,6.1,6.1,6.1
0.46526,0.27587,0.27,0.29,0.29,0.36,0.2,0.3,0.24,0.31,0.34
0.46918,0.46419,0.47,0.34,0.36,0.37,0.38,0.39,0.38,0.38,0.4
0.00089,0.00151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.45578,2.33006,2.37,2.3,2.19,2.36,2.16,2.0,2.07,2.05,2.18
5.03741,4.9406,5.03,4.89,4.78,4.6,4.72,4.6,4.46,4.42,4.4
4.70399,4.36487,4.33,4.24,4.18,4.14,4.14,4.25,4.15,3.91,3.88
0.64038,0.64,0.7,0.82,0.94,0.92,1.04,1.03,0.95,0.87,0.81
0.12624,0.12238,0.11,0.17,0.18,0.25,0.04,0.04,0.01,0.01,0.01
2.78687,2.94352,2.63,2.52,2.44,2.38,2.4,2.36,2.31,2.26,2.22
3.82231,3.52509,3.39,3.55,3.69,3.53,3.52,3.72,3.85,4.01,4.19
2.17467,2.28086,2.48,2.39,2.39,2.79,3.15,3.33,3.34,2.93,2.93
3.60782,3.91305,4.2,4.21,4.3,4.1,4.27,4.1,3.94,3.86,3.84
4.40436,4.01937,4.0,4.08,4.28,4.24,4.04,4.22,4.37,4.32,4.44
0.45622,0.46343,0.46,0.53,0.63,0.67,0.85,0.88,0.91,1.0,1.0
1.48124,1.44991,1.63,1.63,1.66,1.73,1.7,1.76,1.69,1.94,1.84
0.98366,1.04711,1.75,1.99,2.09,2.38,2.64,2.93,3.44,3.85,4.12
2.37334,2.80216,2.58,2.54,2.85,3.02,3.03,2.82,2.43,2.42,2.36
4.2,4.2,4.2,4.0,4.0,3.9,3.8,3.7,3.7,3.6,3.6
0.31215,0.30214,0.31,0.35,0.35,0.26,0.42,0.53,0.54,0.53,0.55
0.29464,0.30211,0.32,0.37,0.37,0.41,0.47,0.48,0.46,0.39,0.37
2.43,2.32,2.35,2.51,2.55,2.67,2.79,2.85,2.69,2.73,2.76
1.55,1.58692,1.67,1.75,1.82,1.88,1.86,1.73,1.68,1.66,1.66
2.98826,2.87862,2.87,2.97,3.07,3.05,3.06,3.2,3.22,3.05,3.09
0.03707,0.04186,0.03,0.02,0.03,0.06,0.03,0.04,0.04,0.04,0.04
2.50001,2.47468,2.09,2.2,2.16,2.14,2.19,2.26,2.5,2.36,2.39
5.01515,4.74445,4.48,4.73,4.55,4.61,4.25,4.55,4.62,4.65,4.75
1.65198,1.58365,1.62,1.64,1.66,1.71,1.75,1.8,1.73,1.74,1.77
3.89908,3.68877,3.79,3.54,3.49,3.32,3.22,2.85,2.85,2.85,2.85
4.51206,4.1285,3.86,3.81,3.55,3.48,3.57,3.45,3.56,3.44,3.45
0.23743,0.23133,0.22,0.13,0.17,0.11,0.08,0.1,0.11,0.09,0.09
2.72729,2.69209,2.68,2.71,2.77,2.79,2.8,2.85,2.9,3.0,3.15
2.39637,2.62405,2.67,2.78,2.88,2.96,2.99,2.99,2.51,2.28,2.32
0.95487,0.91212,0.92,0.93,1.0,1.04,1.07,1.16,1.26,1.38,1.5
5.37419,5.07324,5.87,5.98,6.19,6.38,6.14,6.0,5.69,4.93,3.61
0.29127,0.28366,0.28,0.32,0.41,0.43,0.5,0.59,0.77,0.84,0.92
4.62,4.54,4.47,4.61,4.27,4.28,4.17,4.13,4.11,4.04,3.97
2.18,2.25,2.18,2.1,2.15,1.8,2.26,2.16,2.21,2.3,2.43
5.90594,5.68578,5.6,5.35,5.29,5.56,6.41,6.37,5.86,5.63,5.31
1.18769,0.90305,1.47,1.99,1.3,1.38,1.38,1.39,1.38,1.6,1.71
6.35388,6.34122,6.21,6.01,6.01,5.88,5.88,5.88,5.77,5.66,5.67
0.48534,0.4689,0.47,0.47,0.43,0.42,0.46,0.47,0.48,0.48,0.53
2.36106,2.22502,2.31,2.18,2.18,2.19,2.15,2.1,2.15,2.05,2.13
0.89265,0.80589,0.83,0.86,0.93,0.93,0.94,0.9,0.91,0.9,0.9
0.17185,0.1563,0.17,0.21,0.22,0.23,0.3,0.36,0.33,0.29,0.29
2.05811,2.17916,2.26,2.33,2.41,2.47,2.51,2.51,2.59,2.7,2.75
0.11408,0.12359,0.11,0.12,0.13,0.13,0.16,0.28,0.4,0.51,0.55
1.15598,1.13191,1.08,1.12,1.13,1.14,1.14,1.22,1.33,1.48,1.6
4.29622,4.27001,3.9,4.05,4.08,3.78,3.9,3.92,3.93,3.96,3.96
3.55,3.83,3.71,3.68,3.77,3.74,3.86,4.26,4.24,4.42,4.39
0.13441,0.14549,0.17,0.18,0.18,0.2,0.2,0.21,0.23,0.22,0.23
0.06239,0.0636,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06
0.13243,0.15541,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.12,0.12
6.07408,5.59316,5.58,5.4,5.32,4.99,5.2,5.1,5.23,5.05,5.1
1.19467,1.20972,1.33,1.39,1.44,1.53,1.54,1.58,1.51,1.66,1.78
1.71088,1.62888,1.66,1.69,1.7,1.7,1.73,1.79,1.82,1.88,1.94
1.1933,1.0322,0.99,1.0,1.01,1.03,1.06,1.13,1.22,1.24,1.19
1.47119,1.37848,1.67,1.58,1.56,1.53,1.51,1.53,1.51,1.45,1.35
0.17431,0.17486,0.09,0.04,0.05,0.05,0.05,0.05,0.07,0.06,0.06
1.48,1.47,2.01,1.71,1.91,1.81,1.91,1.84,1.95,2.17,2.44
1.05914,1.04116,0.95,0.9,0.93,0.89,0.71,0.84,0.84,0.88,0.81
0.01904,0.08965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.119,4.34643,4.61,4.86,4.67,4.7,4.8,4.8,4.8,5.3,5.3
0.39072,0.39351,0.37,0.31,0.29,0.27,0.33,0.33,0.35,0.36,0.38
1.32375,1.30299,1.44,1.46,1.41,1.4,1.43,1.64,1.73,1.67,1.98
0.33804,0.33638,0.33,0.49,0.54,0.56,0.31,0.33,0.36,0.4,0.38
0.00314,0.00669,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.93228,4.95598,5.46,5.79,5.64,5.32,5.46,5.36,5.13,4.79,4.59
4.26694,4.29561,4.19,4.06,4.08,3.84,4.07,4.02,3.99,3.98,4.05
0.37229,0.39698,0.53,0.5,0.45,0.42,0.44,0.46,0.48,0.5,0.5
0.14411,0.14773,0.16,0.16,0.17,0.17,0.17,0.15,0.08,0.09,0.08
0.3785,0.37267,0.38,0.39,0.41,0.4,0.4,0.4,0.45,0.48,0.48
0.06918,0.07227,0.07,0.08,0.08,0.09,0.1,0.09,0.09,0.1,0.09
2.77167,2.77145,2.78,2.77,2.77,2.76,2.76,2.76,2.77,2.78,2.8
0.00063,0.00219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56418,1.9757,1.8,1.95,1.84,1.85,1.68,1.41,1.83,1.85,1.94
3.67576,3.83112,3.53,3.53,3.41,3.28,3.38,3.59,3.72,3.72,3.72
1.95569,1.60413,1.65,1.83,1.95,1.78,1.62,1.52,1.5,1.51,1.53
1.05456,1.10566,1.61,1.96,2.29,2.33,2.12,2.13,2.14,2.04,2.23
5.46419,4.47236,4.2,4.0,4.28,3.94,3.58,3.5,3.54,3.71,3.83
