2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
-1.929689646,-2.044092655,-1.991810083,-1.919018269,-1.842995763,-1.879708767,-1.773256779,-1.84436357,-1.855426311,-1.886565924,
,0.048114333,-0.033830658,-0.110022828,-0.06078377,0.070411183,0.314873487,0.251629293,0.257291853,0.299944997,
,,-1.140852928,-1.18234086,-1.115535021,,-1.002866626,,-0.976651907,-0.927691162,
,,,-0.747358084,-0.732784629,-0.752538443,-0.739363015,,,,
0.136836872,0.023820966,0.138445795,0.251967728,0.19912523,0.171151072,0.170099333,0.213269234,0.348582,0.351303786,
-0.433497459,-0.324350357,-0.387849867,-0.377324402,-0.207848221,-0.238822803,-0.429609358,-0.394301742,-0.620787561,-0.633139133,
1.161860466,,1.154312849,1.1947155,1.248593807,1.233743429,1.196954012,1.120239973,1.199453712,1.140083551,
1.348835111,,1.291469574,1.297982693,1.39467001,1.410333991,1.331010818,1.263259649,1.12349689,1.189480543,
-0.829303503,-0.767848194,-0.771567702,-0.91699177,-1.007616758,-0.907814682,-1.019543648,-1.140934467,-1.183456182,-1.162632823,
,-0.46372509,-0.729693234,-1.084079385,-1.223989725,-1.32644105,-1.109268665,-1.193268418,-1.082750559,-1.167433977,
-0.974027038,-0.916895628,-0.846942365,-0.859902918,-0.890514851,-1.016622663,-0.684746504,-0.862021804,-0.923605621,-0.93284297,
-0.537414193,-0.529404283,-0.825014174,-0.873988688,-0.749283075,-0.769234776,-0.631544709,-0.677491605,-0.598577619,-0.66446048,
0.973115921,,1.085666656,1.139849305,1.136510849,1.156564236,1.033804297,0.987220764,0.909132481,0.904255331,
,,,,,,0.284335703,,,,
0.359619409,,,0.242373466,0.244426534,0.228342891,0.14672102,0.142651409,0.206786573,0.211715877,
,,,,,0.31292063,0.482542783,0.469944537,,,
-0.346296847,-0.250255913,-0.227338076,-0.242682159,-0.26982671,-0.198793232,-0.179715931,-0.136583105,-0.142896414,-0.16441147,
,-0.331737727,-0.388097316,-0.489774942,-0.319237053,-0.260703534,-0.04507716,-0.250270844,-0.265015751,-0.29460907,
0.772753358,,0.723371565,0.745215297,0.818505585,0.795857131,0.723632157,0.739141107,0.692296803,0.706385911,
0.128192991,0.34414953,0.29241237,0.190550372,0.261933923,0.079436481,0.200818866,0.063678071,0.036669046,0.023793146,
,,0.445788383,0.375915229,0.39037478,0.253990591,0.222501963,0.22492975,0.239210635,0.375986755,
-0.0816589,,-0.185293704,-0.417783469,-0.439050019,-0.509408116,-0.569490194,-0.362033367,-0.426732689,-0.433187962,
-1.16172719,-0.981066704,,-1.367416143,,,-0.912845612,,,,
-0.635804236,-0.73800391,-0.714119852,-0.60927397,-0.53252852,-0.558681726,-0.542288065,-0.530307293,-0.447925985,-0.493880957,
-0.809345841,-0.757413745,-0.897624373,-0.847404599,-0.805049241,-0.78456682,-1.001796961,-0.972241282,-1.047396898,-1.06689775,
1.224689007,1.264292479,1.14445734,1.228660107,1.275260806,1.257454157,1.293931961,1.370862961,1.351965904,1.295283794,
,,-1.562421799,-1.438443661,,,,,-1.4378829,-1.523121834,
-1.706331372,-1.563443899,-1.442578197,-1.334058404,-1.19343245,-1.23209095,-1.449967861,-1.154832244,-1.329083443,-1.356479883,
0.723349333,0.810039282,0.887606621,0.763231277,0.704023659,0.735013962,0.751715839,0.718928695,0.704101682,0.688375235,
-1.095386028,-1.075258732,-1.168804526,-1.119832039,-1.08836174,-1.087599277,-1.069626093,-1.105490565,-1.030307174,-0.87781024,
-1.008415937,-0.990759373,-0.834782004,-0.672184885,-0.732900858,-0.686625302,-0.578955114,-0.532614708,-0.380847514,-0.33744511,
,-0.554365277,-0.492613316,-0.463344038,-0.459228456,,,,,,
0.663537145,0.796451211,0.865713358,0.781069398,0.863311112,0.878200769,0.857882202,0.91676259,0.889451802,0.815186501,
,0.548932552,0.542445958,0.572414756,0.573861003,0.578204632,0.567026317,0.573095977,0.594130158,0.628294408,
,,,,,,,,,,
,0.728601813,0.737917781,0.830783844,0.828574777,0.772084951,0.785926223,0.791189313,0.825391352,0.827816248,
1.301802397,1.269446611,1.291459084,1.325999975,1.29451251,1.312752008,1.238178492,1.225186348,1.204600453,1.190443397,
-0.463124752,-0.357723445,-0.506094754,-0.616717458,,,,,,,
0.063863754,0.044193495,0.0144538,0.044975717,0.188479513,0.161399126,0.167447552,0.195477962,0.216356426,0.158870548,
-0.475607604,-0.461774528,-0.408879876,-0.489961177,-0.433210313,-0.215689272,-0.110499188,-0.177853748,-0.166911185,-0.137001991,
0.076331407,0.02572855,0.065193266,0.077475488,0.097195126,-0.023375487,0.064006552,0.067686766,0.044363294,-0.046964772,
0.831218481,0.825648963,,0.872383595,0.87419492,0.932532012,0.97528398,0.90385133,0.94091773,0.93688798,
,,,,-1.436589599,-1.360166788,-1.311870694,-1.398237824,-1.511707664,-1.564677238,
1.454463124,,1.455159903,1.450511217,1.50073123,1.47943902,1.412057161,1.29203558,1.265372396,1.311007023,
0.925257206,0.878130436,0.941972136,0.886830568,0.896523654,0.833995342,0.759364009,0.656632304,0.520080805,0.67997849,
,,,-0.260154217,-0.285157621,-0.26663363,-0.358089507,-0.436461389,-0.537229657,-0.571620047,
-0.588482082,-0.577701747,-0.439605951,-0.41482541,-0.3294366,-0.151275828,-0.018420786,-0.095760062,-0.00979048,-0.054174274,
1.141306162,1.097746134,1.047308922,1.095714569,1.084679604,1.167083979,1.180758357,1.060863018,1.022540092,0.982752085,
0.202127784,0.26395303,0.27041164,0.325884968,0.281023592,0.249730334,0.178221792,0.23168543,0.228535503,0.339194328,
,0.341853738,0.385255605,0.360879898,0.241770923,0.257947892,0.23915565,0.210621193,0.273431748,0.291475028,
-0.458146214,-0.588676572,-0.578116119,-0.528053045,-0.494979411,-0.520349503,-0.496581316,-0.500726223,-0.417235553,-0.427182585,
,,,-1.137896299,-1.150450587,-1.126081586,-0.906656742,-0.622471929,-0.577897191,-0.673567533,
,,,,,,,,,,
-0.986053944,,-0.825914145,-0.869595647,-0.775418162,-0.69023025,-0.717367589,-0.734749556,-0.751602054,-0.720903516,
-0.412119031,-0.420538843,-0.500260293,-0.42954585,-0.40994665,-0.456773758,-0.471637368,-0.445325613,-0.436497092,-0.496900558,
,0.722679615,0.789993286,0.790113568,0.712581217,0.766919494,0.611585557,0.653114259,0.527955234,0.589618564,
1.320501089,,,,1.34399128,1.363351345,,1.342286825,1.358806014,1.374495268,
-0.322659373,-0.44656074,-0.417356074,-0.445488393,-0.444927812,-0.398196995,-0.292308986,-0.260329306,-0.256837368,-0.22030808,
-0.534818888,-0.376213431,-0.445845187,-0.389322609,-0.262825072,-0.241571665,-0.131459564,-0.215111732,-0.103141956,-0.190967619,
