beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support
1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.00934,0.01147,0.00713,0.00857,0.00972,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8622466.0,8790140.0,8969047.0,9157465.0,9355514.0,9565147.0,9783147.0,10010030.0,10247780.0,10494489.0,10752971.0,11015857.0,11286753.0,11575305.0,11869879.0,12157386.0,12425267.0,12687301.0,12938862.0,12986369.0,12486631.0,11155195.0,10088289.0,9951449.0,10243686.0,10512221.0,10448442.0,10322758.0,10383460.0,10673168.0,10694796.0,10745167.0,12057433.0,14003760.0,15455555.0,16418912.0,17106595.0,17788819.0,18493132.0,19262847.0,19542982.0,19688632.0,21000256.0,22645130.0,23553551.0,24411191.0,25442944.0,25903301.0,26427199.0,27385307.0,28189672.0,29249157.0,30466479.0,31541209.0,32716210.0,33753499.0,34636207.0,35643418.0,36686784.0,37769499.0,38972230.0,40099462.0,41128771.0,42239854.0,,,,0.177888572,0.200178429,0.13435255,0.172136664,0.244272724,0.070402659,0.113184482,0.089090675,0.051364917,-0.112198286,-0.084887877,,,,0.718114316,0.678896368,0.60012722,0.495901406,0.530935049,0.577955365,0.508514047,0.388927579,0.522566199,0.427010864,0.373535544,,,,0.517637193,0.583925605,0.61826545,0.611387312,0.710384727,0.620584846,0.531691492,0.553553164,0.564952672,0.49634856,0.424125314,,,,-1.929689646,-2.044092655,-1.991810083,-1.919018269,-1.842995763,-1.879708767,-1.773256779,-1.84436357,-1.855426311,-1.886565924,,,,,3.723589897,4.401778221,4.75838089,3.83171916,3.782937527,3.572100401,3.130895615,3.982854605,4.220168591,2.66171813,2.694303274,,,,7.168690205,7.333789825,7.386628628,7.415018559,7.517126083,7.522237778,7.516955376,7.500538826,7.497038364,7.497754574,7.494587898,,,,0.450662315,0.55230844,0.539075196,0.521103561,0.520636737,0.48355186,0.525568426,0.528597236,0.559071779,0.490880072,0.507515848
,,0.49,0.52,0.52,0.5,0.51,0.49,0.53,0.54,0.47,0.48,0.52,0.53,0.52,0.52,0.5,0.46,0.5,0.48,0.44,0.46,0.45,0.45,0.43,0.51,0.57,0.58,0.56,0.52,0.42,0.18,0.09,0.52,1.27,1.01,0.59,0.48,0.46,0.83,1.33431,1.48995,1.28697,1.4483,1.37617,1.6518,1.7933,1.94369,2.12835,2.20543,1.71,1.88,1.34,1.34,1.29,1.48,1.52,1.64,1.75,1.75,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,2745972.0,,,-0.014393483,,-0.1608551,-0.175366521,-0.207943127,-0.172261879,-0.130644977,-0.028161518,-0.084411353,-0.020687405,-0.032642815,0.005384951,,,0.528604746,,0.525223255,0.568958402,0.487496257,0.601512134,0.631830275,0.734648407,0.703850687,0.72981894,0.74961102,0.824212313,,,0.552677572,,0.640023768,0.647908092,0.627659321,0.606635928,0.633608878,0.684910536,0.688370049,0.675243735,0.669240892,0.713299572,,,-0.045107771,,0.048114333,-0.033830658,-0.110022828,-0.06078377,0.070411183,0.314873487,0.251629293,0.257291853,0.299944997,,,,4.634251595,,5.485469818,5.268936634,5.867421627,5.510124207,4.550647736,4.813763142,4.606650829,4.511100769,4.639548302,5.004402637,,,9.077330589,,9.16163826,9.20303154,9.230903625,9.246655464,9.258444786,9.278103828,9.302960396,9.337532043,9.376145363,9.412399292,,,0.821371615,,0.833046615,0.73315227,0.759433806,0.784501791,0.759476721,0.625586927,0.639356136,0.638411462,0.637698293,0.683591664
,0.67,0.51,0.33,0.26,0.27,0.29,0.33,0.34,0.36,0.38,0.38,0.38,0.41,0.35,0.22,0.31,0.31,0.29,0.27,0.27,0.27,0.27,0.19,0.2,0.19,0.18,0.17,0.17,0.16,0.18,0.17,0.19,0.23,0.24,0.28,0.28,0.27,0.26,0.22,0.11978,0.10026,0.17177,0.19139,0.23826,0.29652,0.17637,0.16596,0.20481,0.19895,0.18,0.21,0.23,0.26,0.28,0.31,0.32,0.3,0.31,0.31,11394307.0,11598608.0,11778260.0,11969451.0,12179099.0,12381256.0,12613389.0,12897115.0,13190975.0,13491016.0,13795915.0,14110271.0,14439748.0,14786469.0,15153602.0,15724692.0,16500516.0,17134192.0,17632645.0,18166981.0,18739378.0,19351357.0,20000096.0,20682111.0,21393530.0,22132905.0,22882553.0,23586101.0,24243018.0,24889507.0,25518074.0,26133905.0,26748303.0,27354327.0,27937006.0,28478022.0,28984634.0,29476031.0,29924668.0,30346083.0,30774621.0,31200985.0,31624696.0,32055883.0,32510186.0,32956690.0,33435080.0,33983827.0,34569592.0,35196037.0,35856344.0,36543541.0,37260563.0,38000626.0,38760168.0,39543154.0,40339329.0,41136546.0,41927007.0,42705368.0,43451666.0,44177969.0,44903225.0,45606480.0,,,,,,-0.229078397,-0.204405874,-0.195858598,,,,,-0.191522107,-0.172413006,,,,,,0.592695832,0.529561281,0.586663485,,,,,0.436670482,0.58338058,,,,,,,0.550203383,0.604023278,,0.62590462,,0.66051048,0.641979635,0.591042936,,,,,,-1.140852928,-1.18234086,-1.115535021,,-1.002866626,,-0.976651907,-0.927691162,,,,,,,5.46356678,5.317194462,5.604595661,,6.354898453,,5.340853691,5.248912334,5.043086052,,,,,,9.462700844,9.471961975,9.485086441,,9.509209633,,9.541166306,9.540638924,9.557951927,,,,,,,0.810234487,0.839396894,,0.818189442,,0.748588264,0.806753874,0.798651338
,0.72,0.91,1.01,0.94,0.95,1.12,1.09,1.2,1.38,1.48,1.65,1.72,1.9,1.68,1.3,1.51,1.33,1.36,1.27,1.19,1.48,1.21,0.85,1.02,0.84,0.9,0.91,0.73,0.87,0.64,0.44,0.58,0.55,0.61,0.64,0.77,0.96,0.81,0.77,0.90147,1.186,1.31104,1.32056,1.44496,2.39736,2.7311,2.90574,3.26552,3.95114,4.23,4.43,4.59,4.46,4.5,3.25,3.39,3.65,3.78,3.78,5357195.0,5441333.0,5521400.0,5599827.0,5673199.0,5736582.0,5787044.0,5827503.0,5868203.0,5928386.0,6029700.0,6177049.0,6364731.0,6578230.0,6802494.0,7032713.0,7266780.0,7511895.0,7771590.0,8043218.0,8330047.0,8631457.0,8947152.0,9276707.0,9617702.0,9970621.0,10332574.0,10694057.0,11060261.0,11439498.0,11828638.0,12228691.0,12632507.0,13038270.0,13462031.0,13912253.0,14383350.0,14871146.0,15366864.0,15870753.0,16394062.0,16941587.0,17516139.0,18124342.0,18771125.0,19450959.0,20162340.0,20909684.0,21691522.0,22507674.0,23364185.0,24259111.0,25188292.0,26147002.0,27128337.0,28127721.0,29154746.0,30208628.0,31273533.0,32353588.0,33428486.0,34503774.0,35588987.0,36684202.0,,,,,,,0.065088294,-0.124064885,-0.092934482,-0.157062218,,,,,,,,,,,0.583701789,0.456028581,0.409554869,0.374541551,,,,,,,,,,,0.658646524,0.557908118,0.65828377,0.578517139,,,,,,,,,,,-0.747358084,-0.732784629,-0.752538443,-0.739363015,,,,,,,,,,,5.589000702,4.360249996,3.937106848,3.794837952,,,,,,,,,,,8.684613228,8.699498177,8.730367661,8.741480827,,,,,,,,,,,0.723094344,0.752592862,0.721590757,0.754615486,,,,
,0.75,0.6,0.37,0.5,0.72,0.71,0.66,0.74,0.8,0.93,0.79,0.76,0.79,1.16,1.02,0.66,0.61,0.49,0.5,0.54,0.47,0.5,0.69,0.86,0.85,1.14,1.21,1.06,1.21,1.38,1.79,2.18,2.26,2.43,2.29,2.38,2.58,2.44,2.32,1.79,1.9,2.08,2.03,2.04,2.42,2.57,2.75,3.16,3.23,3.32,3.5,3.29,3.35,3.37,3.39,3.62,3.62,3.62,3.62,20349744.0,20680653.0,21020359.0,21364017.0,21708487.0,22053661.0,22403116.0,22757014.0,23112971.0,23472028.0,23842803.0,24223379.0,24612794.0,25020588.0,25449754.0,25875558.0,26290257.0,26713780.0,27146121.0,27584134.0,28024803.0,28471285.0,28922762.0,29377137.0,29832197.0,30287112.0,30748326.0,31216453.0,31690792.0,32165766.0,32637657.0,33105763.0,33568285.0,34027240.0,34488696.0,34946110.0,35389362.0,35815971.0,36233195.0,36653031.0,37070774.0,37480493.0,37885028.0,38278164.0,38668796.0,39070501.0,39476851.0,39876111.0,40273769.0,40684338.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,45376763.0,45808747.0,46234830.0,46654581.0,,-0.152617574,-0.13692826,-0.127751246,-0.125714213,-0.121725284,-0.170261562,-0.143875062,-0.126476035,-0.16044876,-0.170244098,-0.188303813,-0.182599917,-0.206936628,,0.733003676,0.652832627,0.678222179,0.63664645,0.730258167,0.815802038,0.747498393,0.737250388,0.745057762,0.881223679,0.847702205,0.831966162,0.845894694,,0.824682415,0.827919722,0.823408544,0.863785565,0.846135557,0.840047896,0.856516302,0.842478514,0.857123733,0.858544469,0.841906726,0.809422612,0.820309699,,0.203246102,0.273739934,0.136836872,0.023820966,0.138445795,0.251967728,0.19912523,0.171151072,0.170099333,0.213269234,0.348582,0.351303786,,,6.312925339,6.073158264,5.961034298,6.424133301,6.441067219,6.775805473,6.468387127,6.582260132,6.671114445,6.69713068,6.427221298,6.039330006,5.792796612,,9.716691971,9.792595863,9.822107315,9.750824928,9.836923599,9.884780884,9.863960266,9.877256393,9.841482162,9.858328819,9.830087662,9.848709106,9.809971809,,0.938462794,0.862205565,0.89219451,0.918693185,0.926798582,0.889073491,0.901776373,0.909874201,0.917870402,0.926492274,0.882819116,0.906699121,0.899911582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.01,0.01,0.05,0.0,0.07,0.14,0.3,0.18,0.18443,0.23541,0.1667,0.16786,0.21848,0.27547,0.36122,0.38343,0.41888,0.32738,0.4,0.34,0.25,0.43,0.52,0.49,0.42,0.49,0.52,0.52,1904148.0,1971530.0,2039346.0,2106142.0,2171029.0,2234051.0,2295496.0,2355997.0,2416461.0,2476359.0,2534377.0,2590923.0,2648048.0,2706852.0,2767646.0,2830798.0,2896311.0,2965523.0,3038224.0,3097058.0,3135123.0,3167876.0,3202011.0,3238291.0,3272102.0,3300896.0,3327182.0,3351364.0,3366838.0,3448186.0,3556539.0,3617631.0,3574555.0,3457349.0,3373713.0,3322782.0,3298898.0,3271418.0,3240550.0,3206030.0,3168523.0,3133133.0,3105037.0,3084102.0,3065745.0,3047246.0,3026486.0,3004393.0,2983421.0,2964296.0,2946293.0,2928976.0,2914421.0,2901385.0,2889930.0,2878595.0,2865835.0,2851923.0,2836557.0,2820602.0,2805608.0,2790974.0,2780469.0,2777970.0,,-0.216674119,-0.237257406,-0.201642081,-0.199945047,-0.162075087,-0.211577132,-0.201538891,-0.181962714,-0.205098018,-0.189388379,-0.157248631,-0.133957878,-0.149108693,,0.520197809,0.605410755,0.462156564,0.441412747,0.459256709,0.464524716,0.501863778,0.504081845,0.506487131,0.551026642,0.610986948,0.613697052,0.807643652,,0.494120985,0.507100821,0.52071017,0.542872071,0.509669185,0.474549353,0.517862976,0.562174141,0.580959857,0.594142795,0.593600273,0.625013828,0.581487715,,-0.502481639,-0.30446592,-0.433497459,-0.324350357,-0.387849867,-0.377324402,-0.207848221,-0.238822803,-0.429609358,-0.394301742,-0.620787561,-0.633139133,,,4.289310932,4.881515503,4.651972294,4.177581787,4.367811203,4.260491371,4.319711685,4.277191162,4.453083038,4.34831953,4.325471878,4.287736416,5.062448502,,8.717719078,8.855182648,8.930409431,8.78461647,8.810287476,8.856818199,8.924141884,8.952596664,8.983579636,9.011393547,9.010698318,9.081094742,9.119423866,,0.681876779,0.75964433,0.709485531,0.680006921,0.660342336,0.705108464,0.676446438,0.723260045,0.738763511,0.722551048,0.709218323,0.697924912,0.814449012
,6.36,6.44,7.52,7.72,7.69,7.84,8.1,8.33,8.51,8.64,8.64,8.81,9.57,9.7,9.42,9.38,9.35,8.99,9.02,8.82,8.76,8.26,7.95,7.69,7.73,7.39,7.5,7.62,7.49,7.08,6.65,6.35,5.48,5.46,5.39,5.32,5.24,5.15,5.06,5.07,4.8,4.97,4.96,4.57,4.62,4.63,4.63,4.69,4.68,4.51,4.31,4.14,4.04,4.02,3.76,3.87,3.68,3.71,3.71,10276477.0,10483000.0,10742000.0,10950000.0,11167000.0,11388000.0,11651000.0,11799000.0,12009000.0,12263000.0,12507000.0,12937000.0,13177000.0,13380000.0,13723000.0,13893000.0,14033000.0,14192000.0,14358000.0,14514000.0,14692000.0,14923260.0,15184247.0,15393472.0,15579391.0,15788312.0,16018350.0,16263874.0,16532164.0,16814416.0,17065128.0,17284036.0,17478635.0,17634808.0,17805468.0,18004882.0,18224767.0,18423037.0,18607584.0,18812264.0,19028802.0,19274701.0,19495210.0,19720737.0,19932722.0,20176844.0,20450966.0,20827622.0,21249199.0,21691653.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24592588.0,24963258.0,25334826.0,25649248.0,25685412.0,26014399.0,26638544.0,,,0.338663697,0.296853542,,0.308317155,0.360889763,0.265168518,0.260279536,0.31003502,0.323258132,0.229792744,0.308772951,0.137795404,0.9349733,,0.890681982,0.915733337,,0.932058573,0.944586456,0.935146272,0.933379173,0.922932267,0.921871006,0.922315717,0.910550177,0.916028142,0.842647672,,0.826250911,0.826390505,,0.834236264,0.815860271,0.810741782,0.818835258,0.775209963,0.790050209,0.790868282,0.780078888,0.759018838,1.200283527,,1.148994923,1.161860466,,1.154312849,1.1947155,1.248593807,1.233743429,1.196954012,1.120239973,1.199453712,1.140083551,,7.340688229,,7.285390854,7.253757477,,7.450047016,7.405616283,7.195585728,7.364169121,7.288550377,7.309060574,7.250080109,7.25703764,7.17699337,10.56947041,,10.61349678,10.62938118,,10.63258171,10.64290237,10.66322899,10.67169762,10.68160057,10.6901989,10.7030983,10.70658112,10.7210207,0.96789217,,0.965276182,0.946635187,,0.95451957,0.967029214,0.944599032,0.928205192,0.92379874,0.95186156,0.942334235,0.949957848,0.940137267
4.7,4.9,5.2,5.5,6.0,6.0,6.5,6.5,6.8,6.4,6.5,6.6,7.0,7.0,7.1,6.7,6.8,6.8,6.7,6.5,6.5,6.5,6.6,6.8,6.9,6.7,7.2,6.9,7.0,7.1,7.3,7.3,7.5,7.2,6.9,6.9,6.8,6.7,6.8,6.8,6.8532,6.59497,6.58281,6.69314,6.68129,6.42642,6.41038,6.39019,6.36804,6.11278,6.1,6.1,6.3,6.1,6.2,6.1,6.1,6.1,6.1,6.3,7047539.0,7086299.0,7129864.0,7175811.0,7223801.0,7270889.0,7322066.0,7376998.0,7415403.0,7441055.0,7467086.0,7500482.0,7544201.0,7586115.0,7599038.0,7578903.0,7565525.0,7568430.0,7562305.0,7549425.0,7549433.0,7568710.0,7574140.0,7561910.0,7561434.0,7564985.0,7569794.0,7574586.0,7585317.0,7619567.0,7677850.0,7754891.0,7840709.0,7905633.0,7936118.0,7948278.0,7959017.0,7968041.0,7976789.0,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8916864.0,8955797.0,9041851.0,9132383.0,,0.300667107,,0.289451838,,0.129111528,0.129719824,0.115938991,0.166400507,0.115640186,0.09687189,0.078159958,0.131114438,0.051552333,,0.941382349,,0.879069269,,0.895979762,0.939355612,0.919703901,0.921734452,0.885026872,0.900305152,0.888513982,0.890030563,0.904111981,,0.823104739,,0.832169592,,0.8147192,0.789470851,0.822247744,0.787312806,0.779692769,0.798262954,0.755902588,0.747568727,0.75235039,,1.224309206,,1.348835111,,1.291469574,1.297982693,1.39467001,1.410333991,1.331010818,1.263259649,1.12349689,1.189480543,,,7.122211456,,7.180953979,,7.302678585,7.470512867,7.400688648,7.498802662,6.949999809,7.07644701,7.048071861,7.293727875,7.396001816,,10.65721226,,10.70193577,,10.67674351,10.70218182,10.70440388,10.6987648,10.69920254,10.69885254,10.70244312,10.72407532,10.74189281,,0.936350405,,0.934592783,,0.914193332,0.944156826,0.945142388,0.949809194,0.898920476,0.928110301,0.926318586,0.906217813,0.911668122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.21,0.15,0.2,0.1,0.11,0.06,0.06,0.07,0.17255,0.20354,0.21503,0.23579,0.24803,0.29926,0.30455,0.34517,0.46526,0.27587,0.27,0.29,0.29,0.36,0.2,0.3,0.24,0.31,0.34,0.36,3894500.0,4045750.0,4168150.0,4293550.0,4439250.0,4574650.0,4708150.0,4832000.0,4948500.0,5063300.0,5172050.0,5282950.0,5391450.0,5493900.0,5594100.0,5689050.0,5781000.0,5876150.0,5976150.0,6071300.0,6160500.0,6257750.0,6357550.0,6459800.0,6567850.0,6670150.0,6770300.0,6875350.0,6974600.0,7076550.0,7175200.0,7271300.0,7382050.0,7494800.0,7596550.0,7684850.0,7763000.0,7838250.0,7913000.0,7982750.0,8048600.0,8111200.0,8171950.0,8234100.0,8306500.0,8391850.0,8484550.0,8581300.0,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,10093121.0,10137750.0,10141756.0,10112555.0,,-0.25326246,-0.225743815,-0.048682332,-0.106350586,-0.142825782,-0.125277087,-0.160711497,-0.18864432,-0.228511631,-0.218101621,-0.22437793,-0.245215878,-0.251795292,,0.771528184,0.522046328,0.601043284,0.498138398,0.501071095,0.537484288,0.598859072,0.671956956,0.732772946,0.764289498,0.712573171,0.731030464,0.772449255,,0.511687636,0.520543933,0.577819765,0.543640077,0.526930571,0.53580451,0.553869426,0.618874013,0.597627223,0.60656935,0.597593486,0.592359245,0.592575371,,-1.186661482,-0.929481864,-0.829303503,-0.767848194,-0.771567702,-0.91699177,-1.007616758,-0.907814682,-1.019543648,-1.140934467,-1.183456182,-1.162632823,,,4.727870941,4.56815958,4.817189217,4.573725224,4.218610764,4.680469513,4.910771847,5.481178284,5.25153017,5.146774769,5.303894997,5.152279377,5.167995453,,9.279043198,9.491240501,9.57254982,9.641726494,9.677229881,9.664858818,9.673333168,9.716747284,9.724067688,9.723095894,9.680426598,9.670762062,9.678013802,,0.85441488,0.753246784,0.684267223,0.735970318,0.68700099,0.725193918,0.761873245,0.769690156,0.799433351,0.785702765,0.777271032,0.787039399,0.781229913
